canyon,bout,plot,treatment,transect,cat,occ
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,0
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,1,ag,1
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,0
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,control,2,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,0
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,1
barloy,0,1,browsed,1,ag,0
