"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","1","2","control","1","d",,,,"gapo",,,,,,,
"barloy","1","2","control","1","d",,,,"gapo","brdi",,,,,,
"barloy","1","2","control","1","d",,,,"juoc",,,,,,,
"barloy","1","2","control","1","d",,,,"juoc",,,,,,,
"barloy","1","2","control","1","d",,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1","d",,,,"juoc",,,,,,,
"barloy","1","2","control","1","d",,,,"clpe",,,,,,,
"barloy","1","2","control","1",,,,,"gapo","vumy",,,,,,
"barloy","1","2","control","1",,,,,"bapi","juoc",,,,,,
"barloy","1","2","control","1",,,,,"bapi","juph",,,,,,
"barloy","1","2","control","1",,,,,"juph",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc","juph",,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc","gapo",,,,,,
"barloy","1","2","control","1","bapi",,,,"gapo",,,,,,,
"barloy","1","2","control","1","bapi",,,,"l",,,,,,,
"barloy","1","2","control","1","bapi",,,,"l",,,,,,,
"barloy","1","2","control","1","bapi",,,,"l",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juph",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc","bapi",,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc",,,,,,,
"barloy","1","2","control","1",,,,,"juoc","juph",,,,,,
"barloy","1","2","control","1","bapi",,,,"juoc","juph",,,,,,
"barloy","1","2","control","1","bapi",,,,"brdi","juph",,,,,,
"barloy","1","2","control","1","bapi",,,,"brdi","juph",,,,,,
"barloy","1","2","control","1",,,,,"brdi",,,,,,,
"barloy","1","2","control","1",,,,,"gedi","brdi",,,,,,
