"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","1","browsed","2",,,,,"sacr","ceme","vumy",,,,,
"pilarcitos","2","1","browsed","2",,,,,"sacr","anar",,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"anar",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"ceme",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"chca","vumy",,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2",,,,,"vumy","anar",,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"ceme",,,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"sacr","anar",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"sacr","vumy",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"ceme","vumy",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"sacr","brdi","vumy",,,,,
"pilarcitos","2","1","browsed","2",,,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"ceme","anar","vumy",,,,,
"pilarcitos","2","1","browsed","2",,,,,"ceme","anar",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar",,,,,,,
"pilarcitos","2","1","browsed","2",,,,,"vumy","ceme",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"ceme","vumy",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"ceme","vumy",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"sacr","ceme","stpu",,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar","vumy",,,,,,
"pilarcitos","2","1","browsed","2","bapi","d",,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"ceme","vumy",,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"ceme","anar",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar","sacr",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","1","browsed","2",,,,,"vumy","sacr","ceme",,,,,
"pilarcitos","2","1","browsed","2","d",,,,"vumy","sacr","anar",,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar","sacr",,,,,,
"pilarcitos","2","1","browsed","2","d",,,,"stce","anar",,,,,,
"pilarcitos","2","1","browsed","2",,,,,"sacr","anar","stce",,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar","vumy","stce",,,,,
"pilarcitos","2","1","browsed","2",,,,,"anar",,,,,,,
