cat,model,df,AIC,d_aic,aic_w,er,ler
bapi,mod_b_int,4,788.643836752051,0,0.701465319410178,1,0
bapi,mod_full,5,790.352414385664,1.708577633613,0.298533646105602,2.34970271713375,0.371012919090722
bapi,mod_t_b,4,816.799496027045,28.1556592749934,5.39613089070151e-07,1299941.26091146,6.11392372873886
bapi,mod_t,3,816.972609818363,28.3287730663113,4.9487018980921e-07,1417473.37757528,6.15151491089424
bapi,mod_null,2,844.693314431977,56.049477679926,4.73169528992686e-13,1482482020563.55,12.1709894349757
bapi,mod_b,3,844.716895115745,56.0730583636937,4.67623457762264e-13,1500064438099.25,12.1761099153956
bu,mod_full,5,379.139452695254,0,0.481189853798127,1,0
bu,mod_t_b,4,379.789240733733,0.64978803847913,0.347709680247844,1.38388397313281,0.141099679759112
bu,mod_t,3,381.220566217374,2.08111352211984,0.169984139835168,2.83079265080102,0.451908059435443
bu,mod_b_int,4,391.608359256341,12.4689065610873,0.000943469367222871,510.02170342268,2.70758865742373
bu,mod_b,3,395.735922887326,16.5964701920725,0.000119795015936718,4016.7769087515,3.60387771174444
bu,mod_null,2,397.364574930107,18.2251222348536,5.30617357014487e-05,9068.49064466222,3.9575350093046
ag,mod_b_int,4,503.489629965207,0,0.63516246391009,1,0
ag,mod_full,5,504.598526992242,1.10889702703503,0.364830295391214,1.74098059271364,0.240793929920117
ag,mod_t_b,4,526.25347347004,22.7638435048328,7.24067432890581e-06,87721.4517678873,4.94310581052903
ag,mod_t,3,551.457976580044,47.9683466148363,2.43607527729714e-11,26073187057.4547,10.416194120423
ag,mod_b,3,568.315374436071,64.8257444708633,5.32296082899934e-15,119325030620128,14.0767315544831
ag,mod_null,2,593.082026606719,89.5923966415115,2.22916945632634e-20,2.8493233751589e+19,19.4547417409479
onh,mod_b_int,4,551.098994550628,0,0.268798699015456,1,0
onh,mod_t,3,551.993665983236,0.894671432607424,0.17185086768409,1.56413931822318,0.194275433148941
onh,mod_null,2,552.011792788804,0.912798238175583,0.170300351143394,1.57838018072626,0.198211618965333
onh,mod_b,3,552.36042639713,1.2614318465013,0.143057528335697,1.87895528562954,0.273916445116271
onh,mod_t_b,4,552.374141284244,1.2751467336152,0.142079875340989,1.8918843951006,0.276894595013019
onh,mod_full,5,552.999818255042,1.90082370441348,0.103912678480374,2.58677480887207,0.412758622948837
onn,mod_b_int,4,347.863556553496,0,0.514315329712888,1,0
onn,mod_t_b,4,348.982507584183,1.1189510306869,0.293935702352829,1.74975454018009,0.242977129073639
onn,mod_full,5,349.860302014882,1.99674546138624,0.189514175901114,2.71386204893323,0.433587767822703
onn,mod_b,3,358.740933324664,10.8773767711677,0.00223479203316907,230.140130302666,2.36199235465037
onn,mod_t,3,426.704159227289,78.8406026737929,3.90130696918033e-18,131831546139766112,17.1200193455775
onn,mod_null,2,434.934306237717,87.0707496842209,6.36878235386201e-20,8075567685257904128,18.9071730615182
inv,mod_null,2,5.49999997895354,0,0.502137357756657,1,0
inv,mod_b,3,7.61859407519514,2.11859409624161,0.174090739588482,2.88434272232754,0.460046862695268
inv,mod_t,3,7.64270950211781,2.14270952316428,0.172004208013918,2.91933182074259,0.465283461115897
inv,mod_b_int,4,9.6169282447726,4.11692826581906,0.0640977697727162,7.83392869263911,0.89397961411837
inv,mod_t_b,4,9.61743651229746,4.11743653334392,0.0640814824349893,7.83591981140692,0.894089983009059
inv,mod_full,5,11.6162336561991,6.1162336772456,0.023588442433237,21.2874317233056,1.3281232680293
