cat,tmnt,0_mu,0_sig,1_mu,1_sig,2_mu,2_sig,3_mu,3_sig,4_mu,4_sig,5_mu,5_sig,6_mu,6_sig
ag,1,NA,NA,21,6,65,7,97,3,NA,NA,69,7,90,5
ag,0,NA,NA,21,6,45,7,50,9,NA,NA,8,4,53,8
bapi,1,59,6,51,8,26,7,32,8,41,9,44,7,40,7
bapi,0,62,5,48,8,65,7,80,7,55,9,79,6,79,6
bu,1,NA,NA,18,6,35,7,51,9,NA,NA,30,7,35,7
bu,0,NA,NA,10,4,13,5,20,7,NA,NA,15,5,19,6
inv,1,NA,NA,0,0,0,1,2,3,NA,NA,2,2,5,3
inv,0,NA,NA,1,2,2,2,2,3,NA,NA,0,1,5,3
onh,1,NA,NA,38,7,42,7,40,9,NA,NA,40,7,37,7
onh,0,NA,NA,31,7,54,7,48,9,NA,NA,34,7,55,8
onn,1,NA,NA,4,3,31,7,33,8,NA,NA,29,7,76,6
onn,0,NA,NA,5,3,23,6,8,5,NA,NA,17,5,49,8
