cat,tmnt,0_mu,0_sig,1_mu,1_sig,2_mu,2_sig,3_mu,3_sig,4_mu,4_sig,5_mu,5_sig,6_mu,6_sig
ag,1,NA,NA,21,21,65,23,97,5,NA,NA,69,33,90,20
ag,0,NA,NA,21,31,45,38,50,34,NA,NA,8,12,53,35
bapi,1,59,33,51,35,26,21,32,25,41,32,44,33,40,32
bapi,0,62,35,48,30,65,26,80,25,55,32,79,22,79,27
bu,1,NA,NA,18,25,35,38,51,41,NA,NA,30,34,35,32
bu,0,NA,NA,10,17,13,22,20,23,NA,NA,15,24,19,29
inv,1,NA,NA,0,0,0,2,2,5,NA,NA,2,5,5,10
inv,0,NA,NA,1,6,2,8,2,9,NA,NA,0,1,5,13
onh,1,NA,NA,38,31,42,32,40,28,NA,NA,40,24,37,26
onh,0,NA,NA,31,28,54,29,48,25,NA,NA,34,27,55,33
onn,1,NA,NA,4,9,31,26,33,25,NA,NA,29,27,76,21
onn,0,NA,NA,5,12,23,23,8,9,NA,NA,17,21,49,34
